xdim,ydim,equil,stat,seed,T,autocorrt,avgE,stdE,avgMAbs,stdM,c,m,avgM,scaleF
32,32,16384,16384,10,0.100000,0.000000,-2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-1.000000,0.000000
32,32,16384,16384,20,0.200000,0.000000,-2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000
32,32,16384,16384,30,0.300000,0.000000,-2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-1.000000,0.000000
32,32,16384,16384,40,0.400000,0.000000,-1.999999,0.000000,1.000000,0.000000,0.000037,0.000001,1.000000,0.000000
32,32,16384,16384,50,0.500000,0.000000,-1.999996,0.000000,0.999999,0.000000,0.000143,0.000003,-0.999999,0.000000
32,32,16384,16384,60,0.600000,0.000000,-1.995020,0.000000,0.985683,0.000000,1.800182,9.380126,0.985683,0.005496
32,32,16384,16384,70,0.700000,0.000000,-1.999886,0.000000,0.999973,0.000000,0.001970,0.000079,-0.999973,0.000000
32,32,16384,16384,80,0.800000,0.000000,-1.999547,0.000000,0.999889,0.000000,0.005879,0.000280,0.999889,0.000000
32,32,16384,16384,90,0.900000,3894.848265,-1.952130,0.693035,0.757935,0.255893,6.134603,156.701607,0.725872,0.137726
32,32,16384,16384,100,1.000000,0.570723,-1.996978,0.009710,0.999238,0.000011,0.025216,0.001654,-0.999238,0.000002
32,32,16384,16384,110,1.100000,0.328007,-1.993692,0.009589,0.998388,0.000012,0.043924,0.003290,-0.998388,0.000004
32,32,16384,16384,120,1.200000,0.000000,-1.988184,0.000000,0.996933,0.000000,0.069665,0.006077,0.996933,0.000007
32,32,16384,16384,130,1.300000,0.294765,-1.979881,0.014393,0.994693,0.000022,0.103714,0.010355,-0.994693,0.000013
32,32,16384,16384,140,1.400000,0.250757,-1.967696,0.017639,0.991307,0.000027,0.146553,0.017048,-0.991307,0.000023
32,32,16384,16384,150,1.500000,0.366290,-1.950622,0.021917,0.986399,0.000042,0.198260,0.027236,-0.986399,0.000040
32,32,16384,16384,160,1.600000,0.359828,-1.927089,0.026507,0.979271,0.000055,0.263484,0.043691,-0.979271,0.000068
32,32,16384,16384,170,1.700000,0.609644,-1.897284,0.032442,0.969818,0.000093,0.346556,0.070705,-0.969818,0.000117
32,32,16384,16384,180,1.800000,0.749689,-1.858067,0.038593,0.956414,0.000138,0.441797,0.117530,0.956414,0.000207
32,32,16384,16384,190,1.900000,0.958728,-1.807415,0.046158,0.937445,0.000210,0.571163,0.202499,-0.937445,0.000376
32,32,16384,16384,200,2.000000,1.853200,-1.744147,0.055367,0.910779,0.000413,0.726867,0.385382,-0.910779,0.000753
32,32,16384,16384,210,2.100000,3.646570,-1.659766,0.067337,0.867493,0.000910,0.949491,0.907081,0.867493,0.001860
32,32,16384,16384,220,2.200000,11.199293,-1.547292,0.087787,0.789202,0.003092,1.341223,3.254198,-0.789197,0.006991
32,32,16384,16384,230,2.300000,27.136178,-1.381027,0.112849,0.589131,0.010998,1.823901,16.256962,-0.150984,0.036515
32,32,16384,16384,240,2.400000,18.637495,-1.209491,0.096242,0.302858,0.009036,1.242210,15.311664,0.020211,0.035887
32,32,16384,16384,250,2.500000,7.646826,-1.105731,0.079226,0.197714,0.004239,0.875457,7.883930,0.002088,0.019248
32,32,16384,16384,260,2.600000,4.598895,-1.028092,0.071829,0.150808,0.002572,0.696514,4.641405,0.002695,0.011785
32,32,16384,16384,270,2.700000,2.906294,-0.963153,0.067565,0.124282,0.001725,0.591393,3.182317,0.001042,0.008391
32,32,16384,16384,280,2.800000,2.143318,-0.907266,0.064817,0.107363,0.001302,0.514559,2.370832,-0.004393,0.006483
32,32,16384,16384,290,2.900000,1.482825,-0.858649,0.062219,0.093991,0.000943,0.449324,1.735785,0.002339,0.004916
